sigmoid_colon	stomach
ENSG00000054523	1.30	0.61
ENSG00000054598	0.05	0.08
ENSG00000054611	0.40	1.19
ENSG00000054654	1.14	1.88
ENSG00000054690	0.06	3.06
ENSG00000054793	0.87	0.25
ENSG00000054796	0.00	0.00
ENSG00000054803	0.00	0.00
ENSG00000054938	0.17	0.05
ENSG00000054965	0.67	0.57
ENSG00000054967	0.03	0.42
ENSG00000054983	0.64	0.30
ENSG00000055044	1.12	2.38
ENSG00000055070	1.98	1.95
ENSG00000055118	2.53	1.74
ENSG00000055130	1.86	0.57
ENSG00000055147	0.43	0.51
ENSG00000055163	1.07	3.64
ENSG00000055208	2.93	2.73
ENSG00000055211	2.27	1.39
ENSG00000055332	0.98	0.91
ENSG00000055483	0.52	1.86
ENSG00000055609	1.31	5.56
ENSG00000055732	0.08	0.02
ENSG00000055813	0.24	0.02
ENSG00000055917	2.44	2.05
ENSG00000055950	2.29	2.20
ENSG00000055955	0.07	6.74
ENSG00000055957	0.00	0.00
ENSG00000056050	1.97	0.03
ENSG00000056097	2.82	1.83
ENSG00000056277	0.18	0.33
ENSG00000056291	0.00	0.00
ENSG00000056487	0.00	0.00
ENSG00000056558	0.13	0.23
ENSG00000056586	1.32	0.63
ENSG00000056736	0.03	0.15
ENSG00000056972	0.51	0.52
ENSG00000056998	0.11	1.14
ENSG00000057019	1.40	0.62
ENSG00000057149	0.00	0.00
ENSG00000057252	0.41	0.20
ENSG00000057294	0.03	1.51
ENSG00000057468	0.02	0.00
ENSG00000057593	0.00	0.00
ENSG00000057608	5.87	1.42
ENSG00000057657	0.03	0.03
ENSG00000057663	1.64	0.58
ENSG00000057704	0.19	0.24
ENSG00000057757	1.42	0.51
ENSG00000057935	1.15	2.69
ENSG00000058056	0.32	0.23
ENSG00000058063	1.97	1.87
ENSG00000058085	0.09	0.28
ENSG00000058091	0.40	0.26
ENSG00000058262	1.76	1.23
ENSG00000058272	11.70	7.57
ENSG00000058335	0.00	0.05
ENSG00000058404	0.09	0.17
ENSG00000058453	0.32	1.10
ENSG00000058600	1.15	2.22
ENSG00000058668	10.70	3.03
ENSG00000058673	3.51	2.11
ENSG00000058729	0.46	0.31
ENSG00000058799	0.51	0.17
ENSG00000058804	0.27	0.20
ENSG00000058866	0.29	0.59
ENSG00000059122	0.96	2.73
ENSG00000059145	0.55	1.69
ENSG00000059377	0.80	2.01
ENSG00000059378	0.67	0.42
ENSG00000059573	0.57	0.64
ENSG00000059588	0.42	0.58
ENSG00000059691	0.61	0.54
ENSG00000059728	0.22	0.45
ENSG00000059758	1.82	2.31
ENSG00000059769	0.28	0.03
ENSG00000059804	0.36	0.24
